M=(54.2661, 47.8347)	V=(279.2466, 720.6389)
M=(54.2687, 47.8308)	V=(279.2271, 720.4240)
M=(54.2673, 47.8377)	V=(278.9199, 720.1196)
M=(54.2633, 47.8323)	V=(279.0906, 720.4067)
M=(54.2603, 47.8398)	V=(279.1770, 720.1279)
M=(54.2614, 47.8303)	V=(279.1158, 720.6460)
M=(54.2688, 47.8355)	V=(279.1426, 720.6525)
M=(54.2678, 47.8359)	V=(279.1445, 720.4442)
M=(54.2659, 47.8315)	V=(279.2142, 720.5781)
M=(54.2673, 47.8395)	V=(279.2177, 720.1324)
M=(54.2699, 47.8370)	V=(279.2510, 720.5287)
M=(54.2669, 47.8316)	V=(279.2524, 720.5403)
M=(54.2602, 47.8397)	V=(279.2510, 720.1178)
